name,type
"{""en"": ""electrical supplier"", ""ar"": ""تاجر كهربا"", ""fr"": ""fournisseur électrique""}",2,
"{""en"": ""plumbing"", ""ar"": ""تاجر سباكه وصحي"", ""fr"": ""plomberie""}",2,
"{""en"": ""general supplier"", ""ar"": ""توريدات عامه"", ""fr"": ""fournisseur général""}",2,
"{""en"": ""pallets Factory"", ""ar"": ""مصنع خشب بالتات"", ""fr"": ""usine de palettes""}",2,
"{""en"": ""scrapper"", ""ar"": ""تاجر خرده عام"", ""fr"": ""cachette""}",2,
"{""en"": ""Clamps"", ""ar"": ""مصنع مشابك"", ""fr"": ""Pinces""}",2,
"{""en"": ""Pastic pipes"", ""ar"": ""مصنع خراطيم"", ""fr"": ""Tuyaux en plastique""}",2,
"{""en"": ""Melting factory"", ""ar"": ""مصنع صهر"", ""fr"": ""Usine de fusion""}",2,
"{""en"": ""wood pressing factory"", ""ar"": ""مصنع كبس بالتات"", ""fr"": ""usine de pressage en bois""}",2,
"{""en"": ""plastic crushing"", ""ar"": ""مصنع كسر بلاستيك"", ""fr"": ""écrasement en plastique""}",2,
"{""en"": ""plastic fabrication"", ""ar"": ""مصنع تخريز بلاستيك"", ""fr"": ""fabrication de plastique""}",2,
"{""en"": ""Recycling factory"", ""ar"": ""مصنع مخلفات كرتون وبلاستيك"", ""fr"": ""Usine de recyclage""}",2,
"{""en"": ""tyres centre"", ""ar"": ""ورشه كاوتش"", ""fr"": ""centre des pneus""}",2,
"{""en"": ""destruction contrator"", ""ar"": ""مقاول هدم"", ""fr"": ""entrepreneur de destruction""}",2,
"{""en"": ""karavans"", ""ar"": ""كرفانات"", ""fr"": ""caravanes""}",2,
"{""en"": ""Industrial supplies"", ""ar"": ""مستلزمات ورش ومصانع"", ""fr"": ""Fournitures industrielles""}",2,
"{""en"": ""tools"", ""ar"": ""عدد وادوات يدوية"", ""fr"": ""outils""}",2,
"{""en"": ""Air conditioning dealer"", ""ar"": ""تاجر تكييفات"", ""fr"": ""Marchand de climatisation""}",2,
"{""en"": ""fire extinguishers"", ""ar"": ""طفايات حريق"", ""fr"": ""extincteurs""}",2,
"{""en"": ""car buyer"", ""ar"": ""تاجر سيارات"", ""fr"": ""acheteur de voiture""}",2,
"{""en"": ""hungers"", ""ar"": ""مصنع حديد وجمالونات"", ""fr"": ""faim""}",2,
"{""en"": ""Finishing company"", ""ar"": ""شركه تشطيبات"", ""fr"": ""Entreprise de finition""}",2,
"{""en"": ""E waste recycling factory"", ""ar"": ""مصنع تدوير مخلفات الكترونيه"", ""fr"": ""E usine de recyclage des déchets""}",2,
"{""en"": ""Contractors"", ""ar"": ""مقاولات"", ""fr"": ""Entrepreneurs""}",1,
"{""en"": ""Junkyard"", ""ar"": ""مخزن فصل"", ""fr"": ""Junkyard""}",1,
"{""en"": ""Hand tools and equipment"", ""ar"": ""عدد وادوات يدوية"", ""fr"": ""Outils et équipements à main""}",1,